Artist,Birth,Death,Art Title,DoC,Estimate,price,Dimentions,close date,Auction Title
MARC CHAGALL,0,0,"Le Verger de Philétas, from Daphnis et Chloé (M. 326, see C. books 46)",0,"USD 12,000 – USD 18,000","USD 17,500",(422 x 645 mm.),31 Oct 2012,"2012 | LIVE AUCTION 2593
PRINTS AND MULTIPLES"
PETER ZIMMERMANN ,0,0,MI,0,"EUR 10,000 – EUR 15,000","EUR 18,750",(94 ½ x 78 ¾ in.),8 Dec 2016,"2016 | LIVE AUCTION 12707
ART CONTEMPORAIN VENTE DU JOUR"
George Condo ,1957,0,Inside the Chambre Deux Cent-Douze,1989,"USD 120,000 – USD 180,000","USD 150,000",(127 x 177.8 cm.),3 Dec 2020,"2020 | LIVE AUCTION 18982
POST-WAR & CONTEMPORARY ART DAY SALE, FEATURING THE COLLECTION OF MORTON AND BARBARA MANDEL"
Claude Monet ,1840,1926,Vue du village de Giverny,1886,"USD 3,500,000 – USD 5,500,000","USD 3,972,500",(66 x 81.6 cm.),11 Nov 2018,"2018 | LIVE AUCTION 15977
IMPRESSIONIST AND MODERN ART EVENING SALE INCLUDING PROPERTY FROM THE COLLECTION OF HERBERT AND ADELE KLAPPER"
Joseph Anton Koch ,Elbigenalp,1839,"The Schmadribach Waterfall near Lauterbrunnen, Switzerland (recto); A faint sketch of a mountainous landscape (verso)",0,"GBP 20,000 – GBP 30,000","GBP 68,750",(44.3 x 35.8 cm.),27 Sep 2016,"2016 | LIVE AUCTION 13731
BRIAN SEWELL - CRITIC & COLLECTOR"
Tracey Emin ,1963,0,Reincarnation VI,05,"GBP 15,000 – GBP 20,000","GBP 56,250",(25.1 x 35.5cm.),14 Mar 2019,"2019 | LIVE AUCTION 18171
THE GEORGE MICHAEL COLLECTION EVENING AUCTION"
BILL BRANDT ,1904,1983,"Nude, East Sussex coast, 1959",0,"EUR 5,000 – EUR 7,000","EUR 6,250",(9 x 7 7/8 in.),14 Nov 2013,"2013 | LIVE AUCTION 3580
AGATHE GAILLARD ET LA PHOTOGRAPHIE : UNE PIONNIÈRE À PARIS"
Roger Norman Medearis ,1920,2001,Arrangement of Old Things,1950,"USD 4,000 – USD 6,000","USD 6,000",(45.7 x 31.1 cm.),27 Feb 2013,"2013 | LIVE AUCTION 2681
AMERICAN ART"
"Sir William Russell Flint, R.A., P.R.W.S., R.S.W. ",1880,1969,Highland landscape,0,"GBP 3,000 – GBP 5,000","GBP 3,250",(32.4 x 48.7 cm.),15 Nov 2012,"2012 | LIVE AUCTION 7500
VICTORIAN & BRITISH IMPRESSIONIST ART"
attributed to ANDREW JOSEPH RUSSELL ,1830,1902,"Looking Toward Marye's Heights, Fredericksburg, 1864",0,"USD 1,500 - USD 2,500","USD 1,250",(16.5 x 21.3 cm.),7 Oct 2021,"24 Sep - 7 Oct 2021 | Online Auction 19957
Photography of the Civil War: Property from The Metropolitan Museum of Art"
ANDRÉ DERAIN ,1880,1954,Tête de Femme,0,"USD 1,000 - USD 1,500","USD 1,500",(314 x 220 mm.),16 Sep 2021,"2 Sep - 16 Sep 2021 | Online Auction 20747
A Graphic Dialogue: Prints from the Collection of Lois B. Torf Online"
RENÉ DUVILLIER ,1919,2002,Abîme tant désiré,1961,"USD 1,500 - USD 2,000","USD 1,000",(130 x 97 cm.),15 Nov 2018,"9 Nov - 15 Nov 2018 | Online Auction 16823
Selections from the Israel Museum, Jerusalem Sold to Benefit the Acquisitions Fund"
Anselm Kiefer ,1945,0,Lilith,2011,"GBP 90,000 – GBP 120,000","GBP 110,500",(102 x 165cm.),17 Oct 2015,"2015 | LIVE AUCTION 10384
POST WAR & CONTEMPORARY ART DAY AUCTION"
Pablo Picasso ,1881,1973,Mandoline sur une table,1922,"USD 4,000,000 – USD 6,000,000","USD 4,212,500",(82.2 x 100.4 cm.),11 Nov 2018,"2018 | LIVE AUCTION 15977
IMPRESSIONIST AND MODERN ART EVENING SALE INCLUDING PROPERTY FROM THE COLLECTION OF HERBERT AND ADELE KLAPPER"
"LAURENCE STEPHEN LOWRY, R.A. ",1887,1976,"Market Square, Ebbw Vale",1959,"GBP 25,000 - GBP 35,000","GBP 35,000",(27.3 x 35.5 cm.),2 Jul 2020,"15 Jun - 2 Jul 2020 | Online Auction 19641
People Watching: The Art of L.S. Lowry"
formerly attributed to MATHEW B. BRADY ,1823,1896,"Company E, 21st Michigan Infantry. Sherman's Veterans, 1862-1865",0,"USD 1,000 - USD 2,000","USD 2,375",(16.9 x 22.9 cm.),7 Oct 2021,"24 Sep - 7 Oct 2021 | Online Auction 19957
Photography of the Civil War: Property from The Metropolitan Museum of Art"
MORITZ LUDWIG VON SCHWIND ,VIENNA,1871,The love life of Franz Lachner (fourth scene of the ‘Lachner scroll’),0,"GBP 10,000 – GBP 15,000","GBP 30,000",(22.2 x 111.9 cm),6 Jul 2021,"2021 | LIVE AUCTION 19450
OLD MASTER AND BRITISH DRAWINGS AND WATERCOLOURS INCLUDING A FINE COLLECTION OF OLD MASTER PRINTS"
FRANCISCO DE GOYA Y LUCIENTES ,1746,1828,Can't anyone untie us? (¿No hay quien nos desate?) Plate 75 from: Los Caprichos,0,"USD 2,500 - USD 3,500","USD 5,625",(213 x 149 mm.),23 Oct 2020,"8 Oct - 23 Oct 2020 | Online Auction 19889
The Sleep of Reason: Francisco Goya’s Los Caprichos"
Pablo Picasso ,1881,1973,Le Rapt,1920,"USD 100,000 – USD 150,000","USD 87,500",(22.5 x 25.7 cm.),5 Nov 2013,"2013 | LIVE AUCTION 3443
A DIALOGUE THROUGH ART: WORKS FROM THE JAN KRUGIER COLLECTION DAY SALE"
Gerhard Richter ,1932,0,16. März 03,2003,"USD 30,000 – USD 50,000","USD 62,500",(9.8 x 15 cm.),7 Oct 2020,"2020 | LIVE AUCTION 18977
POST-WAR & CONTEMPORARY ART DAY SALE"
Max Ernst ,1891,1976,Parle-moi donc soldat - La ballade du soldat,0,"GBP 6,000 – GBP 8,000","GBP 7,500",(32 x 21 cm.),28 Feb 2019,"2019 | LIVE AUCTION 16932
IMPRESSIONIST AND MODERN WORKS ON PAPER"
Jean-Louis Voille ,Paris,Louis,"Portrait of Elizaveta Alexandrovna, Baroness Stroganova (1776-1818), later Countess Demidova, half-length",0,"USD 60,000 – USD 100,000","USD 106,250",(69.3 x 55.8 cm.),27 Apr 2017,"2017 | LIVE AUCTION 13874
OLD MASTER PAINTINGS AND SCULPTURE"
John Bentham-Dinsdale ,Yorkshire,Dinsdale,The Ark Royal flying the Royal Standard in the Channel,0,"GBP 1,000 – GBP 1,500",GBP 938,(25.4 x 35.6 cm.),21 Nov 2012,"2012 | LIVE AUCTION 7856
MARITIME ART"
CY TWOMBLY ,1928,2011,Roman Notes,1970,"USD 400,000 – USD 600,000","USD 562,500",(86.8 x 70 cm.),14 May 2021,"2021 | LIVE AUCTION 20001
POST-WAR & CONTEMPORARY ART DAY SALE"
Francis Picabia ,1878,1953,Le toréador Gitanillo Triana,0,"USD 40,000 – USD 60,000","USD 81,250",(61 x 45.1 cm.),9 May 2013,"2013 | LIVE AUCTION 2783
IMPRESSIONIST & MODERN WORKS ON PAPER"
Thomas Ruff ,1958,0,"h.t.b.06, 1999",0,"GBP 15,000 – GBP 20,000","GBP 23,750",(99.5 x 149.3 cm.),20 May 2016,"2016 | LIVE AUCTION 12275
PHOTOGRAPHS"
Alexander Calder ,1898,1976,Untitled,1961,"USD 25,000 – USD 35,000","USD 100,000",(74.9 x 105.4 cm.),1 Mar 2018,"2018 | LIVE AUCTION 15348
POST-WAR AND CONTEMPORARY ART"
ABOUDIA ,1983,0,Portrait de Noutchy,2020,"USD 3,000 - USD 5,000","USD 13,750",(57.2 x 40.6 cm.),12 Mar 2021,"25 Feb - 12 Mar 2021 | Online Auction 20372
ABOUDIA | Noutchy in New York City"
Michael Canney ,1923,1999,Circle & Square - Variation 19,1980,"GBP 1,500 – GBP 2,500","GBP 2,750",(36.5 x 36.5 cm.),9 Apr 2019,"2019 | LIVE AUCTION 16808
MODERN | BRITISH & IRISH ART"
Andy Warhol ,1928,1987,Candy Box (Lamston's 85 cents),1983,"USD 70,000 – USD 100,000","USD 93,750",(25.4 x 20.3 cm.),5 Mar 2020,"2020 | LIVE AUCTION 18549
POST-WAR TO PRESENT"
Barbara Kruger ,1945,0,Untitled (Who follows orders?),1990,"GBP 200,000 – GBP 300,000","GBP 224,750",(251.5 x 101.5cm.),5 Oct 2018,"2018 | LIVE AUCTION 15486
POST WAR AND CONTEMPORARY ART DAY AUCTION"
VALIE EXPORT ,B,1976,Drei Figurationszeichen Drei Körperkonfigurationen (Three Characters Figuration Three Bodies Configuration),1972,"GBP 10,000 – GBP 15,000","GBP 22,500",(36.5 x 55cm.),19 Oct 2013,"2013 | LIVE AUCTION 1151
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
Jean-Baptiste-Camille Corot ,French,Baptiste,Clair de lune au bord de la mer,0,"GBP 40,000 – GBP 60,000","GBP 37,500",(37.5 x 25.4 cm.),12 Jul 2018,"2018 | LIVE AUCTION 15508
19TH CENTURY EUROPEAN & ORIENTALIST ART"
Richard Artschwager ,1923,2013,Washington Monument,1964,"USD 300,000 – USD 500,000","USD 293,000",(119.4 x 67.3 cm.),12 May 2015,"2015 | LIVE AUCTION 3742
POST-WAR AND CONTEMPORARY ART DAY SALE SESSION I"
PATRICK HERON ,1920,1999,Sydney : 21 December : 1989,1989,"GBP 10,000 – GBP 15,000","GBP 12,500",(57.8 x 76 cm.),2 Mar 2021,"2021 | LIVE AUCTION 19784
MODERN BRITISH ART DAY SALE"
Antoni Tàpies ,1923,2012,Gran ics gratada sobre gris (Large X Scraped into Grey),1965,"GBP 300,000 – GBP 400,000","GBP 657,250",(167.6 x 195.5cm.),13 Feb 2013,"2013 | LIVE AUCTION 1106
POST-WAR AND CONTEMPORARY ART (EVENING AUCTION)"
ANRI SALA ,B,print,Airport,2005,"GBP 3,000 - GBP 5,000","GBP 5,250",(107 x 160cm.),30 Mar 2021,"18 Mar - 30 Mar 2021 | Online Auction 19113
First Open: Post-War & Contemporary Art Online"
Anish Kapoor ,1954,0,Untitled,2006,"USD 700,000 – USD 1,000,000","USD 1,113,750",(139.7 x 139.7 x 29.8 cm.),16 May 2013,"2013 | LIVE AUCTION 2787
POST-WAR & CONTEMPORARY AFTERNOON SESSION"
Isa Genzken ,1948,0,Basic Research,1989,"GBP 25,000 – GBP 35,000","GBP 31,250",(45 x 60cm.),2 Jul 2014,"2014 | LIVE AUCTION 1536
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
Attributed to the Studio of Pedro Zuera ,Huesca,1469,The Entombment,0,"GBP 12,000 – GBP 18,000","GBP 15,000",(71.3 x 69.8 cm.),30 Apr 2015,"2015 | LIVE AUCTION 10448
OLD MASTER & BRITISH PAINTINGS"
LISA YUSKAVAGE ,0,0,Mardi Gras Dude,2014,"USD 70,000 – USD 90,000","USD 87,500",(126.4 x 111.8 cm.),12 Nov 2021,"2021 | LIVE AUCTION 20097
POST-WAR AND CONTEMPORARY ART DAY SALE"
Matta ,Chilean,2002,La forêt,1956,"USD 250,000 – USD 350,000","USD 293,000",(144.8 x 198.1 cm.),28 May 2015,"2015 | LIVE AUCTION 3745
LATIN AMERICAN ART"
Jean-Antoine Watteau ,Valenciennes,Antoine,"Head of a child in a feathered hat, looking to the right",0,"GBP 40,000 – GBP 60,000","GBP 62,500",(12.9 x 10.5 cm.),5 Jul 2016,"2016 | LIVE AUCTION 11787
OLD MASTER & BRITISH DRAWINGS"
HEINRICH KÜHN ,1866,1944,"Stillleben mit Karaffe, Glas und Pfirsich, 1911",0,"EUR 15,000 – EUR 20,000","EUR 17,500",(9 3/8 x 11 5/8 in.),8 Nov 2018,"2018 | LIVE AUCTION 16417
PHOTOGRAPHIES"
Mead Schaeffer ,1898,1980,"""Valencia was made aware of the fact that she had attracted a new admirer...""",0,"USD 15,000 - USD 25,000","USD 15,000",(75.9 x 106.7 cm.),22 May 2018,"15 May - 22 May 2018 | Online Auction 16470
American Art Online"
Circle of Frans Francken II ,Antwerp,1642,The Adoration of the Magi,0,"GBP 8,000 – GBP 12,000","GBP 20,000",(31.7 x 47 cm.),3 Jul 2013,"2013 | LIVE AUCTION 1138
OLD MASTER & BRITISH PAINTINGS DAY SALE"
ANDY WARHOL ,1928,1987,"General Custer, from Cowboys and Indians",0,"USD 30,000 – USD 50,000","USD 40,000",(913 x 913 mm.),20 Apr 2018,"2018 | LIVE AUCTION 16121
PRINTS AND MULTIPLES"
Arthur John Elsley ,1860,1952,Hold Up/Here He Comes,0,"GBP 120,000 – GBP 180,000","GBP 146,500",(89 x 67.5 cm.),12 Dec 2013,"2013 | LIVE AUCTION 1177
VICTORIAN & BRITISH IMPRESSIONIST ART"
ANDY WARHOL ,1928,point,"Scotch Broth, from Campbell's Soup II",0,"USD 10,000 – USD 15,000","USD 25,000",(810 x 475 mm.),28 Feb 2018,"2018 | LIVE AUCTION 15980
CONTEMPORARY EDITION"
Louis Béroud ,French,1930,From the Balcony,0,"USD 25,000 – USD 35,000","USD 25,000",(32.7 x 40.6 cm.),23 May 2017,"2017 | LIVE AUCTION 14141
19TH CENTURY EUROPEAN ART"
Austyn Weiner ,1989,0,Nothing I Can Do To Make You Stay But Spitting In Your Face May Help,2020,"USD 10,000 – USD 15,000","USD 90,000",(165.7 x 236.9 cm.),10 Jul 2020,"2020 | LIVE AUCTION 18727
POST-WAR & CONTEMPORARY ART DAY SALE"
VIK MUNIZ ,B,mounted,"Orestes Pursued by the Furies, after Adolphe William Bouguereau (from Pictures of Junk), 2006",0,"USD 15,000 - USD 20,000","USD 15,000",(127 x 101.6 cm.),3 Jun 2020,"19 May - 3 Jun 2020 | Online Auction 19581
Photographs"
Sturtevant ,1926,2014,Study for Warhol Flowers,1965,"USD 120,000 – USD 180,000","USD 175,000",(56.2 x 56.2 cm.),16 Nov 2018,"2018 | LIVE AUCTION 15976
POST-WAR AND CONTEMPORARY ART AFTERNOON SESSION"
Baccio Bandinelli ,Gaiole,1560,Two nude men standing,0,"GBP 800 – GBP 1,000","GBP 5,000",(30 x 19.8 cm.),2 Dec 2014,"2014 | LIVE AUCTION 5877
OLD MASTER AND BRITISH DRAWINGS AND WATERCOLOURS"
Claes Oldenburg ,1929,0,Empty Bag (Hard Bag),1962,"USD 60,000 – USD 80,000","USD 62,500",(9.5 x 34.2 x 29.2 cm.),14 May 2014,"2014 | LIVE AUCTION 2848
POST-WAR AND CONTEMPORARY MORNING SESSION"
KEITH HARING ,1958,1990,Pyramids: one print,0,"USD 40,000 – USD 60,000","USD 50,000",(1032 x 1442 mm.),22 Oct 2021,"2021 | LIVE AUCTION 19997
PRINTS & MULTIPLES"
Mario Testino ,1954,0,"Gisele II, Paris Vogue, 2002",0,"GBP 15,000 – GBP 20,000","GBP 21,250",(158.7 x 123.2 cm.),20 May 2016,"2016 | LIVE AUCTION 12275
PHOTOGRAPHS"
Attributed to Johann Edler Goll van Frankenstein ,Frankfurt,1785,"Elegant figures in a riverside park (recto); Studies of cows, figures and gateposts (verso)",0,"EUR 800 – EUR 1,200","EUR 1,625",(32.2 x 41.2 cm.),10 Dec 2014,"2014 | LIVE AUCTION 3052
THE I.Q. VAN REGTEREN ALTENA COLLECTION PART II. DUTCH AND FLEMISH DRAWINGS FROM 1500-1900"
"German School, c. 1530",0,0,"The Agony in the Garden, in a painted circle",0,"USD 10,000 – USD 15,000","USD 11,250",(21.9 x 20.3 cm.),5 Jun 2013,"2013 | LIVE AUCTION 2710
OLD MASTER PAINTINGS"
Seydou Keïta ,1921,2001,Untitled #454,1950,"GBP 3,000 - GBP 5,000","GBP 6,000",(55.5 x 39.5cm.),19 Sep 2019,"11 Sep - 19 Sep 2019 | Online Auction 17697
First Open | Online"
PATRICK S. NAGGAR ,0,0,Twilight,1999,"HKD 8,000 - HKD 12,000","HKD 17,640",(51 1/8 x76 7/8 in.),22 Apr 2022,"7 Apr - 22 Apr 2022 | Online Auction 19896
No Regrets: 20/21 Art Online: All Originals"
Chris Ofili ,1968,0,Untitled,2001,"GBP 6,000 – GBP 8,000","GBP 25,000",(24.1 x 15.8cm.),14 Mar 2019,"2019 | LIVE AUCTION 18171
THE GEORGE MICHAEL COLLECTION EVENING AUCTION"
ENRICO DONATI ,1909,2008,La medusa volante,0,"EUR 60,000 – EUR 80,000","EUR 118,750",(50 x 70 1/8 in.),8 Jun 2018,"2018 | LIVE AUCTION 16169
POST-WAR AND CONTEMPORARY ART PARIS, DAY SALE"
GARRY WINOGRAND ,1928,eight,"Central Park, New York, from Women Are Beautiful, c. 1970",0,"USD 3,000 - USD 5,000","USD 1,250",(22.5 x 33.3 cm.),25 Jan 2018,"16 Jan - 25 Jan 2018 | Online Auction 16650
MoMA: Garry Winogrand"
Rufino Tamayo ,1899,1991,Mujer,1973,"USD 100,000 – USD 150,000","USD 245,000",(50.2 x 40.2 cm.),21 Nov 2015,"2015 | LIVE AUCTION 3795
LATIN AMERICAN ART"
FRANCIS JOHN WYBURD ,BRITISH,1893,"Xarifa: the Zegri lady rose not, etc.",1863,"GBP 60,000 – GBP 80,000","GBP 68,750",(63.5 x 76 cm.),15 Jul 2021,"2021 | LIVE AUCTION 20111
BRITISH AND EUROPEAN ART"
Giorgio de Chirico ,1888,1978,Il figliol prodigo,0,"GBP 15,000 – GBP 20,000","GBP 37,500",(50.5 x 36 cm.),28 Feb 2018,"2018 | LIVE AUCTION 15471
IMPRESSIONIST AND MODERN WORKS ON PAPER"
CHRISTIAN ROHLFS ,1849,1938,Zwei Tanzende,0,"USD 3,000 - USD 5,000","USD 4,000",(286 x 303 mm.),16 Sep 2021,"2 Sep - 16 Sep 2021 | Online Auction 20747
A Graphic Dialogue: Prints from the Collection of Lois B. Torf Online"
Gil Joseph Wolman ,1929,1995,each: Untitled,1972,"EUR 2,000 - EUR 3,000","EUR 13,750",(i),26 Nov 2020,"10 Nov - 26 Nov 2020 | Online Auction 18281
Post-War & Contemporary Art Online"
Richard Prince ,1949,0,American Dream,2007,"USD 1,200,000 – USD 1,800,000","USD 1,215,000",(170.2 x 128.3 x 40.6 cm.),10 Jul 2020,"2020 | LIVE AUCTION 18727
POST-WAR & CONTEMPORARY ART DAY SALE"
Armando Morales ,1927,2011,Two Nudes Against a Red Wall,1981,"USD 70,000 – USD 90,000","USD 75,000",(101.6 x 127 cm.),21 Nov 2018,"2018 | LIVE AUCTION 15581
LATIN AMERICAN ART"
PIETER VAN DER BORCHT I ,1545,1608,The Meat Market & The Vegetable Market,0,"GBP 8,000 - GBP 12,000","GBP 12,500",(NH 176),28 Jan 2021,"19 Jan - 28 Jan 2021 | Online Auction 20187
Old Master Prints"
DANIEL BUREN ,B,Cut,Unique tablecloth with Laser-Cut Lace (object to be situated on table) (1A); Unique tablecloth with Laser-Cut Lace (object to be situated on table) (2A); Unique tablecloth with Laser-Cut Lace (object to be situated on table) (3B); Unique tablecloth with Laser-Cut Lace (object to be situated on table) (1B),2002,"USD 1,500 - USD 2,000","USD 3,000",(180 x 180 cm.),23 Oct 2018,"16 Oct - 23 Oct 2018 | Online Auction 16334
The Collection of Melva Bucksbaum: Post-War and Contemporary Art, Photographs and Prints"
"John Craxton, R.A. ",1922,2009,Don Bachardy,1960,"GBP 5,000 – GBP 8,000","GBP 8,125",(43.9 x 31 cm.),20 Jun 2018,"2018 | LIVE AUCTION 15480
MODERN BRITISH ART DAY SALE"
Salvador Dalí ,1904,1989,Aerodynamique,1933,"GBP 20,000 – GBP 30,000","GBP 22,500",(26.9 x 20.3 cm.),23 Jun 2016,"2016 | LIVE AUCTION 11793
IMPRESSIONIST & MODERN ART WORKS ON PAPER"
ILSE BING ,1899,1810,"Boy writing, Frankfurt, 1929",0,"USD 1,000 - USD 2,000",USD 875,(11 x 14.8 cm.),13 May 2020,"30 Apr - 13 May 2020 | Online Auction 18987
From Pictorialism into Modernism: 80 Years of Photography"
Samuel van Hoogstraten ,Dordrecht,1678,The interior of a synagogue,0,"GBP 7,000 – GBP 10,000","GBP 21,250",(13.5 x 15 cm.),3 Jul 2012,"2012 | LIVE AUCTION 5688
OLD MASTER & EARLY BRITISH DRAWINGS AND WATERCOLOURS"
BRUCE NAUMAN ,0,0,Underground Passage,0,"USD 2,000 – USD 3,000","USD 1,625",(600 x 822 mm.),1 Mar 2017,"2017 | LIVE AUCTION 14544
CONTEMPORARY EDITION"
AN ISFAHAN CARPET,0,0,"CENTRAL PERSIA, FIRST HALF 17TH CENTURY",0,"USD 80,000 – USD 120,000","USD 100,000",(338 cm. x 165 cm.),2 Jun 2015,"2015 | LIVE AUCTION 10859
THE CONNOISSEUR'S EYE"
BRASSAÏ ,1899,1984,"Couple amoureux, rue Croulebarbe 13e, Quartier Italie, Paris, c. 1931",0,"EUR 8,000 – EUR 10,000","EUR 6,250",(11 ¾ x 8 7/8 in.),9 Nov 2021,"2021 | LIVE AUCTION 19834
PHOTOGRAPHIES"
Ed Ruscha ,1937,0,Black Hollywood,1984,"USD 600,000 – USD 800,000","USD 1,142,500",(55.8 x 203.2 cm.),15 Nov 2012,"2012 | LIVE AUCTION 2598
POST-WAR & CONTEMPORARY ART MORNING SESSION"
ANDY WARHOL ,1928,1987,$ (1): one plate,0,"USD 30,000 – USD 50,000","USD 50,000",(500 x 396 mm.),20 Apr 2018,"2018 | LIVE AUCTION 16121
PRINTS AND MULTIPLES"
Giovanni Battista Tiepolo ,Venice,1770,"Head of the artist, bust-length, in a cap, looking towards the right",0,"GBP 40,000 – GBP 60,000","GBP 50,000",(27.7 x 19.1 cm.),5 Jul 2016,"2016 | LIVE AUCTION 11787
OLD MASTER & BRITISH DRAWINGS"
Cristoforo Munari ,Reggio,1720,"Biscuits, porcelain and an earthenware pot on a silver charger with a glass of wine, books, a clock, jasmine blossoms and other vessels on a partially draped stone ledge",0,"USD 60,000 – USD 80,000","USD 162,500",(60.6 x 74 cm.),1 May 2019,"2019 | LIVE AUCTION 17467
OLD MASTER PAINTINGS AND SCULPTURE"
Manuel Mendive ,1944,0,Aguas profundas,1994,"USD 60,000 – USD 80,000","USD 93,750",(284 x 270 cm.),23 May 2019,"2019 | LIVE AUCTION 15922
LATIN AMERICAN ART"
GERMAINE KRULL ,0,0,"Untitled from Métal, Hamburg, c. 1925–1928",0,"USD 10,000 - USD 15,000","USD 6,250",(21.5 x 15.2 cm.),13 May 2020,"30 Apr - 13 May 2020 | Online Auction 18987
From Pictorialism into Modernism: 80 Years of Photography"
"LAURENCE STEPHEN LOWRY, R.A. ",1887,1976,Lancashire Street,1951,"GBP 150,000 - GBP 250,000","GBP 299,250",(22.8 x 27.9 cm.),2 Jul 2020,"15 Jun - 2 Jul 2020 | Online Auction 19641
People Watching: The Art of L.S. Lowry"
Anonymous ,0,0,Virgin and Child,0,"USD 7,000 - USD 9,000","USD 15,000",(68 x 47.6 cm.),18 Feb 2022,"4 Feb - 18 Feb 2022 | Online Auction 21269
Latin American Art Online"
"Henry Lamb, R.A. ",1883,1960,Portrait of Edie McNeill,0,"GBP 50,000 – GBP 80,000","GBP 50,000",(34.3 x 21.8 cm.),26 Jun 2015,"2015 | LIVE AUCTION 10364
MODERN BRITISH AND IRISH ART DAY SALE, LONDON"
Constantin Brancusi ,1867,1957,Nu,0,"GBP 70,000 – GBP 100,000","GBP 104,500",(36 x 26.5 cm.),5 Feb 2014,"2014 | LIVE AUCTION 1508
IMPRESSIONIST/MODERN WORKS ON PAPER"
CARL ANDRE ,B,five,35 Steel Staple Run,1971,"GBP 20,000 – GBP 30,000","GBP 68,500",(13 x 15cm.),14 Feb 2014,"2014 | LIVE AUCTION 1511
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
Mike Kelley ,1954,2012,Wood Nymph,1988,"GBP 30,000 – GBP 50,000","GBP 61,250",(242 x 152.5cm.),14 Feb 2013,"2013 | LIVE AUCTION 1107
POST-WAR AND CONTEMPORARY ART (DAY AUCTION)"
Severin Roesen ,1815,1872,Still Life with Fruit and Leaves,0,"USD 60,000 – USD 80,000","USD 87,500",(63.5 x 76.2 cm.),26 Feb 2014,"2014 | LIVE AUCTION 2822
AMERICAN ART"
Pierre-Auguste Renoir ,1841,Auguste,Buste de femme au chapeau fleuri,0,"EUR 80,000 – EUR 120,000","EUR 109,500",(8½ x 3¾ in.),3 Dec 2013,"2013 | LIVE AUCTION 3567
ART IMPRESSIONNISTE ET MODERNE"
,0,0,A Collection of Christian subjects,305,"GBP 1,000 – GBP 1,500","GBP 1,750",(and smaller),9 Dec 2015,"2015 | LIVE AUCTION 10404
OLD MASTER PRINTS"
ROBERT RAUSCHENBERG ,1925,2008,"Prime Pump, from ROCI USA (Wax Fire Works)",0,"USD 20,000 – USD 30,000","USD 21,250",(1610 x 1118 mm.),27 Feb 2019,"2019 | LIVE AUCTION 16785
CONTEMPORARY EDITION"
Camille Bombois ,1883,1970,Jeune fille sautant à la corde,0,"GBP 10,000 – GBP 15,000","GBP 12,500",(55 x 46 cm.),5 Feb 2016,"2016 | LIVE AUCTION 11133
IMPRESSIONIST & MODERN ART & PICASSO CERAMICS"
WEEGEE ,0,0,"‘The Swinging City’, c. 1955",0,"USD 3,000 - USD 5,000","USD 1,625",(18.3 x 15.2 cm.),7 May 2019,"2 May - 7 May 2019 | Online Auction 18322
Weegee Photographs: The Elastic Lens"
Evelyn De Morgan ,1855,1919,A drapery study for 'The Love Potion',0,"GBP 7,000 – GBP 10,000","GBP 12,500",(53.4 x 36.2 cm.),13 Dec 2017,"2017 | LIVE AUCTION 14233
VICTORIAN PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART"
Henri Matisse ,1869,1954,Modèle endormie,0,"USD 20,000 – USD 30,000","USD 32,500",(28.3 x 38.4 cm.),14 May 2019,"2019 | LIVE AUCTION 17155
IMPRESSIONIST AND MODERN ART WORKS ON PAPER SALE"
Henri Biva ,French,1928,A bridge over the river,0,"GBP 5,000 – GBP 7,000","GBP 7,500",(65 x 81.5 cm.),20 Jan 2016,"2016 | LIVE AUCTION 11799
19TH CENTURY EUROPEAN ART"
North Italian School,0,0,Wine bottles with apples and a quince,0,"USD 4,000 – USD 6,000","USD 32,500",(58.4 x 72.3 cm.),31 Jan 2013,"2013 | LIVE AUCTION 2676
OLD MASTER PAINTINGS PART II"
LEONOR FINI ,1907,1996,Portrait de femme,0,"USD 2,000 – USD 3,000","USD 10,000",(55.3 x 38.1 cm.),13 Nov 2021,"2021 | LIVE AUCTION 20181
IMPRESSIONIST AND MODERN ART WORKS ON PAPER SALE"
MISHA KAHN ,B,fungible,What Happened in the Berry Patch (Sconce),2021,Estimate unknown,"USD 10,625","(00:00:08 seconds, 2048 x 2048 pixels)",24 Aug 2021,"18 Aug - 24 Aug 2021 | Online Auction 20887
Misha Kahn: Furniture Unhinged"
William Wegman ,1941,0,Dressed For,1988,"USD 2,000 - USD 3,000","USD 5,000",(73.7 x 55.2 cm.),5 Feb 2020,"28 Jan - 5 Feb 2020 | Online Auction 19045
Christie's 100"
ATTRIBUÉ À FRANÇOIS BOUCHER ,PARIS,1770,Jeunes femmes jouant de la musique,0,"EUR 60,000 – EUR 80,000","EUR 87,500",(31 ¼ x 49 ¾ in.),20 Jun 2018,"2018 | LIVE AUCTION 16485
TABLEAUX 1400 - 1900"
George Grosz ,1893,1959,Figur für Schwejk,0,"GBP 25,000 – GBP 35,000","GBP 31,250",(50 x 39.4 cm.),19 Jun 2013,"2013 | LIVE AUCTION 1132
IMPRESSIONIST/MODERN WORKS ON PAPER"
Louis Vivin ,1861,1936,Sacré Coeur,0,"GBP 3,000 – GBP 4,000","GBP 4,375",(73 x 92 cm.),22 Jun 2012,"2012 | LIVE AUCTION 6240
IMPRESSIONIST/MODERN"
